assembly	only	n/a	under	good	neutral	over	completeness	qv
pri	0.000804826846760051	3.59513880454293	0.452903586616736	88.2737720416177	6.00198469088376	1.67539604949209	93.1033	61.358
hap1	0.000743008017752097	3.59620525657221	0.742780333892514	87.9734024160165	6.00830442418033	1.67856456132066	93.0946	61.7133
hap2	0.000729039336279397	3.59626011997381	0.606388757286286	88.1211679829713	6.02817883362037	1.64727526681198	93.0935	61.7882
dip	0.00149417153037102	3.58063311723555	10.3664493440683	78.3252381636594	7.57339233900813	0.152792864498316	NA	61.7505
